,node_count,edge_count,diameter,av_path_length,density,connected?,minimum_cut
all_u,2105,402368,7,2.122962185236171,0.1817002790748083,False,0.0
knn,2105,421000,4,2.318360232291394,0.19011406844106463,True,203.0
